# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cpu-clock'
# Event count (approx.): 596077250000
#
# Overhead  Command          Shared Object       Symbol                                                
# ........  ...............  ..................  ......................................................
#
     2.32%  8_scheduler      beam.smp            [.] scheduler_wait
     2.32%  4_scheduler      beam.smp            [.] scheduler_wait
     2.31%  3_scheduler      beam.smp            [.] scheduler_wait
     2.30%  2_scheduler      beam.smp            [.] scheduler_wait
     2.30%  6_scheduler      beam.smp            [.] scheduler_wait
     2.30%  5_scheduler      beam.smp            [.] scheduler_wait
     2.30%  7_scheduler      beam.smp            [.] scheduler_wait
     2.28%  1_scheduler      beam.smp            [.] scheduler_wait
     1.09%  4_scheduler      libc-2.17.so        [.] __sched_yield
     1.09%  3_scheduler      libc-2.17.so        [.] __sched_yield
     1.09%  2_scheduler      libc-2.17.so        [.] __sched_yield
     1.09%  5_scheduler      libc-2.17.so        [.] __sched_yield
     1.09%  6_scheduler      libc-2.17.so        [.] __sched_yield
     1.08%  7_scheduler      libc-2.17.so        [.] __sched_yield
     1.08%  8_scheduler      libc-2.17.so        [.] __sched_yield
     1.08%  1_scheduler      libc-2.17.so        [.] __sched_yield
     0.73%  1_scheduler      [kernel.kallsyms]   [k] __raw_spin_unlock_irq
     0.73%  8_scheduler      [kernel.kallsyms]   [k] __raw_spin_unlock_irq
     0.72%  7_scheduler      [kernel.kallsyms]   [k] __raw_spin_unlock_irq
     0.71%  5_scheduler      [kernel.kallsyms]   [k] __raw_spin_unlock_irq
     0.71%  6_scheduler      [kernel.kallsyms]   [k] __raw_spin_unlock_irq
     0.71%  3_scheduler      [kernel.kallsyms]   [k] __raw_spin_unlock_irq
     0.71%  2_scheduler      [kernel.kallsyms]   [k] __raw_spin_unlock_irq
     0.70%  4_scheduler      [kernel.kallsyms]   [k] __raw_spin_unlock_irq
     0.67%  4_scheduler      [kernel.kallsyms]   [k] system_call_after_swapgs
     0.67%  6_scheduler      [kernel.kallsyms]   [k] system_call_after_swapgs
     0.66%  1_scheduler      [kernel.kallsyms]   [k] system_call_after_swapgs
     0.66%  7_scheduler      [kernel.kallsyms]   [k] system_call_after_swapgs
     0.66%  3_scheduler      [kernel.kallsyms]   [k] system_call_after_swapgs
     0.66%  5_scheduler      [kernel.kallsyms]   [k] system_call_after_swapgs
     0.65%  2_scheduler      [kernel.kallsyms]   [k] system_call_after_swapgs
     0.65%  8_scheduler      [kernel.kallsyms]   [k] system_call_after_swapgs
     0.58%  8_scheduler      beam.smp            [.] erts_schedule
     0.58%  7_scheduler      beam.smp            [.] erts_schedule
     0.58%  5_scheduler      beam.smp            [.] erts_schedule
     0.57%  6_scheduler      beam.smp            [.] erts_schedule
     0.57%  2_scheduler      beam.smp            [.] erts_schedule
     0.57%  3_scheduler      beam.smp            [.] erts_schedule
     0.56%  1_scheduler      beam.smp            [.] erts_schedule
     0.56%  4_scheduler      beam.smp            [.] erts_schedule
     0.44%  6_scheduler      beam.smp            [.] tw_bif_timer_timeout
     0.42%  2_scheduler      beam.smp            [.] tw_bif_timer_timeout
     0.42%  8_scheduler      beam.smp            [.] tw_bif_timer_timeout
     0.41%  7_scheduler      beam.smp            [.] tw_bif_timer_timeout
     0.41%  4_scheduler      beam.smp            [.] tw_bif_timer_timeout
     0.41%  1_scheduler      beam.smp            [.] tw_bif_timer_timeout
     0.41%  3_scheduler      beam.smp            [.] tw_bif_timer_timeout
     0.40%  5_scheduler      beam.smp            [.] tw_bif_timer_timeout
     0.38%  4_scheduler      beam.smp            [.] create_tw_timer
     0.38%  3_scheduler      beam.smp            [.] create_tw_timer
     0.37%  2_scheduler      beam.smp            [.] create_tw_timer
     0.36%  7_scheduler      beam.smp            [.] create_tw_timer
     0.36%  8_scheduler      beam.smp            [.] create_tw_timer
     0.36%  1_scheduler      beam.smp            [.] create_tw_timer
